year,value,units,accommodation_type,occupancy_type,weekday_weekend,size_of_accommodation,location,is_accessible,is_urban
2014,46.44,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2011,64.92,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2017,53.2,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2017,74.79,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2016,55.07,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2019,3.81,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
2012,21.67,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
2011,23.39,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
2015,59.35,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2018,53.13,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2016,60.59,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2019,52.68,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2018,59.64,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2011,49.88,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2013,41.08,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2016,64.42,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2011,56.34,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2013,73.83,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2017,73.55,Percentage,Hotels , Room Occupancy,All,Rooms: 26-50,All,False,False
2018,69.75,Percentage,Hotels , Room Occupancy,All,All,Other Urban Areas,True,True
2012,35.7,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2016,46.02,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Other Urban Areas,True,True
2014,44.23,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2019,55.05,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Remote Small Towns,False,False
2018,32.57,Percentage,Caravan & Camping Parks , Pitch Occupancy,All,All,Accessible Small Towns,True,False
2013,54.97,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2012,48.06,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2015,62.42,Percentage,Hotels , Room Occupancy,All,Rooms: 11-25,All,False,False
2019,70.61,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2017,56.02,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2017,37.22,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2011,49.14,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2015,48.8,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2019,33.17,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2012,31.85,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2015,38.2,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2013,39.81,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2018,48.34,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2012,32.41,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Small Towns,False,False
2018,80.48,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2016,35.87,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2015,33.59,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2016,31.78,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2016,37.44,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2018,43.97,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2012,40.01,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2019,80.83,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 11-25,All,False,False
2017,43.72,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2014,42.15,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2017,43.41,Percentage,Guest House/B&B , Bed Occupancy,All,All,All,False,False
2018,40.73,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2013,44.0,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2016,50.53,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2014,53.95,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2017,79.6,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2019,74.35,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2017,54.83,Percentage,Hotels , Room Occupancy,All,Rooms: 04-10,All,False,False
2016,76.01,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2015,47.47,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2016,71.24,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2018,69.91,Percentage,Hotels , Room Occupancy,All,All,All,False,False
2012,70.24,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2019,53.62,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2018,0.0,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
2011,70.53,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2018,55.46,Percentage,Hostels , Bed Occupancy,All,All,Other Urban Areas,True,True
2015,44.28,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2012,45.26,Percentage,Guest House/B&B , Bed Occupancy,All,All,Other Urban Areas,True,True
2016,53.12,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2015,73.47,Percentage,Hotels , Room Occupancy,All,Rooms: 51-100,All,False,False
2013,35.69,Percentage,Hostels , Bed Occupancy,All,All,Remote Rural,False,False
2011,38.62,Percentage,Hostels , Bed Occupancy,All,All,Accessible Small Towns,True,False
2015,24.37,Percentage,Hotels , Room Occupancy,All,Rooms: 01-03,All,False,False
2017,56.37,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
